iter	RMSE
315	298715.7568
316	297760.8901
317	297052.6209
318	296603.4342
319	295659.4543
320	295004.5656
321	294732.1523
322	293944.2229
323	293464.5652
324	293073.197
325	292329.0718
326	291832.0793
327	291247.5251
328	290290.1129
329	289693.1334
330	289114.3426
331	288479.3778
332	287975.0712
333	287202.5871
334	286278.8704
335	285598.8011
336	284904.2821
337	284198.9372
338	283235.7988
339	282452.633
340	281678.6673
341	281178.1951
342	280644.2718
343	280074.4746
344	279793.2968
345	279564.8076
346	279186.5478
347	278476.8976
348	277992.5387
349	277324.2757
350	276794.8956
351	276508.3447
352	275661.7516
353	275155.6015
354	274607.5278
355	274440.5195
356	273748.464
357	273292.4513
358	272755.3322
359	272229.8225
360	271995.1124
361	271663.631
362	271066.3395
363	270570.2846
364	269845.8684
365	269496.9004
366	269042.4332
367	268233.103
368	267628.6837
369	267152.0403
370	266808.3325
371	266353.3086
372	266208.6346
373	265589.0685
374	265144.9898
375	264877.7298
376	264206.9774
377	263921.58
378	262921.1363
379	262097.4482
380	261131.1621
381	260566.2626
382	259903.5277
383	259177.8277
384	258292.8306
385	257398.4532
386	257027.7978
387	256524.9053
388	256206.8485
389	256146.0248
390	255389.8312
391	254797.3027
392	254655.9869
393	254306.0889
394	253525.58
395	253035.0404
396	252675.98
397	251796.4775
398	251212.1761
399	250683.1164
400	250407.0359
401	249933.9707
402	249771.7804
403	248934.2912
404	248607.39
405	247952.9117
406	247515.3318
407	247126.9656
408	246697.5799
409	246449.7963
410	245914.8778
411	245497.6914
412	245044.4763
413	244650.9235
414	244414.4107
415	244028.5876
416	243375.1026
417	242778.0326
418	242572.8264
419	241872.7543
420	241465.2013
421	241276.4508
422	240745.3582
423	240078.2014
424	239822.9283
425	239261.7316
426	238916.9592
427	238513.7932
428	237963.0509
429	237478.0053
430	236784.9346
431	235866.8318
432	235323.2863
433	234740.8169
434	234495.4795
435	234056.1145
436	233610.3432
437	233117.8679
438	232814.1278
439	232382.0919
440	231919.1973
441	231260.4741
442	230773.1746
443	230291.8097
444	229762.7902
445	229219.249
446	228880.9689
447	228790.7358
448	228310.934
449	228107.8062
450	227765.2374
451	227485.1651
452	226949.46
453	226525.4572
454	225850.5677
455	225319.4811
456	224654.2623
457	224290.4037
458	223945.9527
459	223582.2812
460	223234.3135
461	222914.2164
462	222411.0219
463	222163.5793
464	221918.6867
465	221700.9655
466	221212.6851
467	220755.5405
468	220338.6366
469	219952.9449
470	219678.8117
471	219446.9739
472	218994.2552
473	218588.8468
474	218355.6615
475	217911.4555
476	217743.4397
477	217438.7401
478	216983.7759
479	216781.6333
480	216402.9823
481	216066.419
482	215617.7155
483	215212.9731
484	214951.2826
485	214843.5187
486	214540.2894
487	214182.6825
488	213770.4479
489	213319.2741
490	213032.2515
491	212864.8358
492	212375.6945
493	211690.5485
494	211102.4703
495	210747.9046
496	210393.3884
497	209892.372
498	209549.707
499	209051.4888
500	208495.147
501	208083.895
502	207984.932
503	207490.5182
504	207190.2577
505	206704.3176
506	206133.5751
507	205798.7289
508	205619.8024
509	205331.9761
510	204621.8052
511	204416.5383
512	204281.6145
513	203969.926
514	203900.752
515	203595.5326
516	203413.3189
517	203087.5974
518	203006.0921
519	202696.5152
520	202421.2299
521	202125.2746
522	201749.6876
523	201591.1784
524	201147.4876
525	200838.1982
526	200472.0317
527	200105.4373
528	199714.0072
529	199250.0409
530	199174.0686
531	198804.5133
532	198621.3313
533	198253.5499
534	197856.0431
535	197346.4236
536	197120.439
537	196940.3719
538	196681.5892
539	196170.1371
540	195946.8675
541	195661.334
542	195325.3981
543	194932.7022
544	194610.5982
545	194431.0418
546	194198.0935
547	193927.7687
548	193876.4251
549	193451.0483
550	193038.0017
551	192743.1789
552	192513.1762
553	192103.2107
554	191901.8903
555	191620.9722
556	191579.7205
557	191285.469
558	191043.2162
559	190594.197
560	190273.3121
561	189916.0171
562	189609.6683
563	189271.6823
564	189161.0955
565	188847.2218
566	188402.6784
567	188038.6768
568	187868.9709
569	187547.1185
570	187249.9416
571	187147.215
572	186744.5666
573	186567.1956
574	186447.5691
575	186270.0074
576	185962.7397
577	185593.1222
578	185322.3262
579	185024.2935
580	184474.1057
581	184120.7931
582	183759.5395
583	183261.9553
584	183027.4126
585	182764.6575
586	182680.5675
587	182506.8771
588	182274.8077
589	182156.0098
590	181890.9398
591	181731.2587
592	181384.3563
593	181176.9534
594	180749.5939
595	180617.1925
596	180411.6106
597	180181.6938
598	180132.6791
599	179892.8644
600	179692.4632
601	179374.3452
602	179092.15
603	178907.8525
604	178685.7608
605	178403.8746
606	178197.1801
607	178000.5818
608	177853.9434
609	177781.0864
610	177564.535
611	177313.3996
612	177094.1201
613	176622.9062
614	176562.2679
615	176469.6278
616	176308.9441
617	176171.8173
618	175824.185
619	175632.8552
620	175442.6578
621	175252.3349
622	174986.9012
623	174608.8196
624	174404.8512
625	174122.0732
626	173961.5436
627	173851.6687
628	173715.3024
629	173296.827
630	173161.5101
631	172872.0548
632	172611.2035
633	172296.9439
634	171981.0243
635	171739.0283
636	171559.5179
637	171326.9475
638	171134.4628
639	170863.349
640	170621.824
641	170350.1475
642	170262.1106
643	170014.3793
644	169882.607
645	169609.3953
646	169503.0016
647	169326.4425
648	169005.5537
649	168926.5839
650	168744.0187
651	168613.4738
652	168158.1256
653	167705.506
654	167686.9716
655	167460.3516
656	167277.4086
657	167179.2356
658	167027.6153
659	166766.9032
660	166573.9372
661	166368.1723
662	166117.3236
663	165834.7788
664	165644.223
665	165547.7366
666	165449.7021
667	165270.1769
668	164810.444
669	164605.2592
670	164437.2444
671	164292.6459
672	164065.9113
673	163810.7827
674	163676.9803
675	163353.3788
676	163232.5924
677	162960.6631
678	162765.0688
679	162621.7344
680	162518.5358
681	162351.7579
682	162123.9384
683	161803.8935
684	161382.4207
685	161223.9293
686	161086.3762
687	160850.5532
688	160738.7999
689	160652.2852
690	160393.7065
691	160237.7576
692	159993.29
693	159949.7282
694	159793.4039
695	159620.4145
696	159338.7517
697	159110.8044
698	158821.8508
699	158722.3461
700	158601.0056
701	158285.1952
702	158244.8607
703	157977.7195
704	157632.0161
705	157438.4656
706	157095.8598
707	156989.6836
708	156740.726
709	156693.889
710	156437.644
711	156296.7945
712	156129.0229
713	156038.1115
714	155950.2023
715	155832.1474
716	155606.6586
717	155332.8893
718	155224.3838
719	154960.861
720	154718.5788
721	154573.9549
722	154337.1864
723	154181.619
724	153833.5892
725	153581.9949
726	153422.0292
727	153366.0666
728	153174.5355
729	153062.6156
730	152921.7229
731	152656.2859
732	152392.6958
733	152170.6364
734	152025.3211
735	151917.6563
736	151836.115
737	151736.6823
738	151607.0783
739	151565.5294
740	151226.6725
741	150900.3927
742	150646.9856
743	150515.962
744	150277.8408
745	150011.2173
746	149805.5599
747	149476.5941
748	149401.4089
749	149225.7228
750	149113.7149
751	148944.1617
752	148658.9419
753	148554.5524
754	148410.7027
755	148312.8802
756	148177.0458
757	147978.3586
758	147849.8077
759	147760.472
760	147698.9928
761	147512.8349
762	147272.9962
763	147070.5443
764	146841.4883
765	146714.6766
766	146558.9053
767	146515.3112
768	146245.077
769	146055.1974
770	145888.8392
771	145658.5513
772	145416.2573
773	145047.8769
774	144789.2343
775	144649.8266
776	144535.4556
777	144416.7996
778	144206.1049
779	143907.4393
780	143631.7542
781	143182.3204
782	143055.2005
783	142808.5416
784	142615.7438
785	142333.0994
786	142106.7235
787	142005.127
788	141861.1623
789	141705.888
790	141419.6977
791	141246.1395
792	141107.5029
793	140989.3099
794	140780.0644
795	140611.3052
796	140476.0215
797	140412.8872
798	140273.3798
799	140177.4357
800	139972.9556
801	139915.8679
802	139719.469
803	139610.0462
804	139373.6374
805	139177.2434
806	139015.6076
807	138902.1003
808	138651.0649
809	138450.5115
810	138293.1868
811	138115.4408
812	137944.6908
813	137826.6106
814	137723.0669
815	137544.443
816	137377.2105
817	137204.8386
818	136971.2736
819	136627.5132
820	136551.6393
821	136452.354
822	136339.9405
823	136212.4605
824	136021.604
825	135914.5263
826	135835.3206
827	135717.1109
828	135561.8798
829	135406.4644
830	135124.9598
831	134926.2131
832	134764.3788
833	134599.043
834	134477.0738
835	134099.1869
836	134014.9195
837	133917.8664
838	133766.1071
839	133591.2271
840	133469.4814
841	133201.2702
842	133071.2276
843	132873.4613
844	132618.4955
845	132485.4704
846	132188.244
847	132066.1357
848	131976.1857
849	131806.2085
850	131664.3145
851	131529.8145
852	131434.9535
853	131266.4797
854	131014.2092
855	130893.9685
856	130595.2755
857	130470.954
858	130296.5962
859	130088.4317
860	129753.1877
861	129683.1743
862	129535.2573
863	129426.6449
864	129178.5616
865	128931.1805
866	128741.5424
867	128610.1484
868	128443.2239
869	128341.1854
870	128208.4072
871	128125.7447
872	127939.2138
873	127854.8185
874	127684.7154
875	127454.6786
876	127193.1305
877	127074.1481
878	126806.2449
879	126682.2359
880	126474.3785
881	126292.1116
882	126196.8773
883	126117.5512
884	125866.6751
885	125613.3567
886	125459.7872
887	125292.3213
888	125187.4213
889	125082.9089
890	124982.1393
891	124942.6013
892	124879.3338
893	124750.1332
894	124590.3409
895	124481.573
896	124330.4748
897	124185.1997
898	123972.9311
899	123876.7353
900	123822.3946
901	123714.2083
902	123569.958
903	123384.2777
904	123283.7855
905	123180.2227
906	123023.2416
907	122937.2651
908	122821.6861
909	122620.9236
910	122506.3033
911	122381.8469
912	122278.3794
913	122111.7114
914	121733.3449
915	121592.9228
916	121395.0267
917	121261.7171
918	121199.9311
919	121128.6429
920	121028.4155
921	120916.353
922	120692.6094
923	120560.1933
924	120449.9722
925	120306.2201
926	120106.6939
927	119805.8124
928	119721.2137
929	119624.0487
930	119492.9029
931	119268.6514
932	119024.4821
933	118880.5927
934	118667.0171
935	118528.5539
936	118393.1931
937	118320.8296
938	118216.7042
939	118045.1014
940	117797.1342
941	117642.9327
942	117467.6047
943	117348.4241
944	117188.5991
945	117085.9494
946	117001.9406
947	116920.8933
948	116782.555
949	116698.4169
950	116573.9446
951	116468.2524
952	116375.1474
953	116207.1273
954	116120.5406
955	115942.4141
956	115861.8378
957	115784.9689
958	115563.6419
959	115422.2174
960	115313.202
961	115216.8971
962	115047.7117
963	114900.526
964	114781.4133
965	114658.2521
966	114501.4335
967	114462.9481
968	114355.7131
969	114239.9363
970	114080.98
971	113854.4226
972	113649.3106
973	113554.3202
974	113373.7188
975	113234.1124
976	113060.5425
977	112917.0345
978	112759.0611
979	112615.6022
980	112548.8595
981	112484.4177
982	112259.3303
983	112198.8617
984	112131.1203
985	112026.1894
986	111925.0463
987	111848.5493
988	111825.2674
989	111676.5929
990	111546.7964
991	111410.1104
992	111275.3599
993	111143.8433
994	111056.5623
995	110851.9217
996	110801.1502
997	110730.5136
998	110635.9196
999	110412.1908
