,index,Unnamed: 0,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
0,101,101,231,Коммунарка-1,Коммунарка,2016-11-07,"{'lat': 55.570302, 'long': 37.476404}",Коммунарка,127,63,67,113,2,0,69,15,22,43,0,0,19,0,0,0,2,0,0,1,10,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2
1,102,102,233,Рязань-1,"Первомайский, 56",2016-11-28,"{'lat': 54.62983, 'long': 39.718818}",Рязань,324,362,83,39,15,6,1,52,86,90,8,8,11,0,19,0,0,0,0,1,32,5,0,0,6,22,0,4,1,0,12,0,6,0,0,0
2,103,103,234,Самара-5,"Самара-5, Ленинградская 29",2016-05-06,"{'lat': 53.1875, 'long': 50.0904}",Самара,634,414,184,58,3,8,1078,604,2,29,1,16,24,0,28,0,0,0,0,5,37,0,0,0,6,2,0,4,0,0,3,0,7,0,1,0
3,104,104,236,Киров-1,Киров,2016-10-14,"{'lat': 58.605466, 'long': 49.660675}",Киров,356,831,142,24,10,6,80,22,21,45,1,3,35,1,27,0,0,1,0,2,79,2,0,0,2,5,0,0,2,0,1,0,8,0,0,0
4,105,105,238,Псков-1,Юбиленая 68,2017-08-09,"{'lat': 57.821939, 'long': 28.291789}",Псков,45,471,58,12,6,2,22,28,8,58,1,1,17,1,3,0,0,3,0,0,49,2,0,0,5,10,2,1,2,0,30,0,5,0,0,0
5,106,106,240,Нижний Новгород-1,"Нижний Новгород-1, Парк Кулибина",2016-04-26,"{'lat': 56.3167, 'long': 44.0061}",Нижний Новгород,763,535,61,44,14,9,15,28,46,26,0,1,12,5,2,0,0,0,0,1,31,3,0,0,7,11,0,7,0,0,131,0,7,0,0,0
6,107,107,244,Сергиев Посад-1,Сергиев Посад,2017-01-11,"{'lat': 56.304461, 'long': 38.134414}",Сергиев Посад,86,181,9,14,1,11,26,37,2,36,0,0,9,0,2,1,0,0,0,0,20,3,0,0,1,1,0,5,0,0,2,0,4,0,0,0
7,108,108,246,Красногорск-1,Красногорск и Павшинская Пойма,2016-06-03,"{'lat': 55.825669, 'long': 37.366328}",Красногорск,156,275,182,358,4,3,0,25,34,263,13,3,55,13,7,1,1,0,0,0,17,0,0,0,7,7,0,7,0,2,2,0,1,0,0,0
8,109,109,249,Владивосток-1,"Владивосток-1, Некрасовская 61А",2020-02-10,"{'lat': 43.131868, 'long': 131.910886}",Владивосток,426,944,301,64,5,8,2,21,9,25,1,6,38,0,7,1,0,0,0,2,51,0,0,1,20,19,0,8,3,0,0,0,8,0,0,1
9,110,110,251,Северск-1,Северск,2016-08-11,"{'lat': 56.581231, 'long': 84.924005}",Северск,0,8,6,5,1,0,10,6,0,11,0,0,0,0,0,0,0,0,0,0,26,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
