,index,Unnamed: 0,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
0,501,501,1040,Санкт-Петербург 0-4,ул. Софьи Ковалевской,2019-11-20,"{'lat': 60.012431, 'long': 30.411377}",Санкт-Петербург,46,482,93,51,20,1,3,9,24,24,0,0,40,2,4,0,0,38,0,2,41,0,0,0,4,1,0,2,0,0,0,0,2,0,0,0
1,502,502,1041,Омск-2,Омск – 10 лет Октября 92,2019-10-31,"{'lat': 54.984877, 'long': 73.401797}",Омск,179,499,110,22,20,4,23,46,193,238,0,13,20,1,11,0,0,0,0,0,19,1,0,1,1,7,0,3,2,0,9,0,3,0,0,0
2,503,503,1042,Омск-3,Омск – Ленина,2019-12-17,"{'lat': 54.984507, 'long': 73.375686}",Омск,151,501,128,50,22,5,41,60,215,400,0,13,18,1,12,0,0,8,0,2,18,3,0,1,2,8,0,3,1,0,10,0,3,0,0,0
3,505,505,1045,Лабытнанги-1,ул.Школьная 25а,2019-12-29,"{'lat': 66.661607, 'long': 66.378507}",Лабытнанги,65,21,0,0,0,1,3,8,0,5,0,0,4,0,0,0,0,0,0,2,5,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0
4,506,506,1046,Москва 4-18,Полянка,2019-11-18,"{'lat': 55.734025, 'long': 37.619138}",Москва,145,632,108,20,5,14,8,247,340,139,2,6,37,11,35,0,0,0,0,0,44,1,0,2,1,8,1,13,4,0,30,2,16,0,0,0
5,507,507,1047,Подольск-2,Климовск,2019-09-30,"{'lat': 55.379622, 'long': 37.542318}",Подольск,189,269,21,20,6,2,3,19,12,36,2,0,7,1,0,0,0,0,0,1,6,0,0,0,4,3,0,1,0,0,1,0,0,0,0,0
6,508,508,1048,Санкт-Петербург 10-3,пр-т. Просвещения,2019-10-25,"{'lat': 60.04313, 'long': 30.385252}",Санкт-Петербург,1,386,130,124,37,1,1,9,1,36,0,1,39,0,0,0,0,70,0,5,14,1,0,0,7,1,0,6,0,0,0,0,0,0,0,0
7,509,509,1049,Москва 1-25,Путилково,2019-12-24,"{'lat': 55.870014, 'long': 37.399925}",Путилково,55,482,167,335,6,4,4,86,21,222,5,1,50,20,2,0,0,0,0,0,24,0,0,0,7,5,1,3,0,0,3,1,2,0,0,1
8,510,510,1050,Санкт-Петербург 11-2,ул. Наличная,2019-11-30,"{'lat': 59.952069, 'long': 30.232846}",Санкт-Петербург,54,289,68,56,20,4,48,22,26,41,1,1,24,1,4,1,4,3,0,1,72,1,0,0,3,4,3,4,1,1,5,0,2,1,1,0
9,511,511,1051,Томск-2,"Иркутский тракт, 70",2019-10-24,"{'lat': 56.505229, 'long': 85.014751}",Томск,154,280,160,56,7,1,52,31,24,84,1,0,12,0,12,0,0,0,0,0,54,1,0,1,2,10,0,1,2,0,0,0,0,0,0,0
