,index,Unnamed: 0,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
0,201,201,435,Чебоксары-2,НЮР,2017-04-04,"{'lat': 56.10201, 'long': 47.281963}",Чебоксары,54,432,90,64,8,2,19,28,6,59,0,3,22,3,1,0,0,0,0,0,11,3,0,1,3,11,0,2,0,0,2,0,0,1,0,0
1,202,202,436,Москва 4-2,Южное Бутово,2017-04-24,"{'lat': 55.539889, 'long': 37.536365}",Москва,13,109,174,108,0,0,63,18,6,26,0,0,35,2,0,0,3,0,0,0,22,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2,203,203,438,Старая Купавна-1,Старая Купавна,2017-08-16,"{'lat': 55.802999, 'long': 38.182115}",Старая Купавна,87,6,1,4,0,0,14,2,0,22,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,113,0,1,0,0,0
3,204,204,441,Воткинск-1,Воткинск,2018-01-14,"{'lat': 57.050822, 'long': 54.002098}",Воткинск,3,19,0,0,0,0,0,12,1,12,0,1,6,0,0,0,0,0,0,0,7,1,0,0,2,3,0,1,1,0,2,0,1,0,0,0
4,205,205,442,Уфа-2,Уфа-2. Черниковка,2017-04-01,"{'lat': 54.8186, 'long': 56.06423}",Уфа,4,34,5,7,12,0,1,9,1,18,0,2,26,0,0,3,0,0,0,0,11,0,0,0,2,6,0,0,0,0,2,0,1,0,0,0
5,206,206,444,Санкт-Петербург 3-1,"Санкт-Петербург 3-1, ТК Озерки",2018-02-15,"{'lat': 60.036938, 'long': 30.320427}",Санкт-Петербург,68,289,96,111,22,1,73,11,12,40,0,0,33,0,0,0,0,124,0,3,29,1,0,0,4,3,0,8,1,0,1,0,0,0,0,0
6,207,207,445,Санкт-Петербург 3-2,"Санкт-Петербург 3-2, пр-т. Художников",2018-11-22,"{'lat': 60.047748, 'long': 30.35237}",Санкт-Петербург,3,321,100,122,36,0,7,9,4,62,0,0,37,1,0,0,0,110,0,4,30,1,0,0,11,3,0,6,0,0,0,0,0,0,0,0
7,208,208,446,Санкт-Петербург 3-3,"Санкт-Петербург 3-3, пр-т. Непокоренных",2020-07-12,"{'lat': 59.99852, 'long': 30.36592}",Санкт-Петербург,62,403,86,77,53,5,9,12,34,20,0,0,26,2,11,0,0,37,0,1,66,1,0,0,10,2,0,3,0,1,1,0,1,0,0,0
8,209,209,447,Санкт-Петербург 3-4,"Санкт-Петербург 3-4, пр-т. Энгельса 21",2022-06-30,"{'lat': 60.00293, 'long': 30.328787}",Санкт-Петербург,99,552,113,52,51,6,22,18,71,38,0,0,40,1,13,0,0,65,0,1,59,2,0,0,10,7,0,4,1,1,1,0,1,0,0,0
9,210,210,448,Санкт-Петербург 3-5,"Санкт-Петербург 3-5, Бизнес-центр Гулливер",2017-11-05,"{'lat': 59.989438, 'long': 30.257171}",Санкт-Петербург,160,154,129,56,12,3,10,20,31,63,1,0,25,2,1,0,4,17,0,4,35,0,0,1,14,8,3,1,0,0,7,0,5,3,1,0
