,index,Unnamed: 0,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
0,701,701,1384,Сосногорск-1,Сосногорск,2023-01-03,"{'lat': 63.586021, 'long': 53.935577}",Сосногорск,4,0,0,0,0,0,81,3,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,702,702,1385,Миасс-2,Миасс-2,2022-11-15,"{'lat': 55.154193, 'long': 60.155675}",Миасс,24,245,49,0,1,2,1,17,2,26,1,1,9,0,0,0,0,0,0,0,6,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0
2,703,703,1386,Благовещенск-3,Ресторан,2022-12-18,"{'lat': 50.29693, 'long': 127.508156}",Благовещенск,68,197,99,4,6,5,21,34,20,119,2,7,8,0,1,0,0,0,0,0,8,0,0,0,2,3,0,6,1,0,0,0,0,0,0,0
3,704,704,1387,Калуга-3,ул. Братьев Луканиных 15,2022-10-22,"{'lat': 54.500071, 'long': 36.177842}",Калуга,146,50,33,32,1,0,6,30,0,9,0,0,3,0,0,0,0,0,0,1,26,0,0,0,7,4,0,1,0,0,0,0,3,0,0,0
4,705,705,1388,Балашиха-3,Балашиха,2022-10-27,"{'lat': 55.834057, 'long': 37.942277}",Балашиха,64,154,57,141,5,1,6,17,1,89,3,0,21,1,0,0,0,0,0,0,6,0,0,0,1,2,0,2,0,0,2,0,1,0,0,0
5,706,706,1389,Томск-4,"Фрунзе, 77",2022-10-20,"{'lat': 56.475837, 'long': 84.976161}",Томск,304,434,114,37,40,12,388,76,82,301,11,4,23,1,57,3,0,0,0,0,97,2,0,0,13,21,0,3,2,0,9,0,3,0,0,0
6,707,707,1390,Пермь-5,Компрос,2023-02-03,"{'lat': 58.007523, 'long': 56.241463}",Пермь,255,1080,185,167,20,7,15,120,68,119,10,10,49,3,22,3,2,1,0,1,59,5,0,0,1,5,0,3,1,0,74,1,2,2,0,0
7,708,708,1391,Санкт-Петербург 1-7,м. Московская,2022-10-29,"{'lat': 59.850048, 'long': 30.320926}",Санкт-Петербург,6,735,97,55,20,1,6,5,32,42,2,1,39,1,2,0,0,44,0,2,89,0,0,0,2,5,0,2,0,0,1,0,0,0,0,0
8,709,709,1392,Омск-9,Омск-Амур,2023-01-28,"{'lat': 55.025973, 'long': 73.416541}",Омск,63,206,94,8,0,1,17,10,8,38,0,1,9,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0
9,710,710,1395,Смоленск-4,"г. Смоленск, мкр. Королевка, д. 9Б",2022-12-27,"{'lat': 54.811871, 'long': 32.020754}",Смоленск,3,19,36,0,0,2,4,16,2,41,1,0,3,1,0,0,0,0,0,0,21,1,0,0,6,8,0,3,0,0,35,0,1,0,0,0
10,711,711,1398,Подольск-3,Кузнечики,2022-12-29,"{'lat': 55.422692, 'long': 37.487927}",Подольск,165,267,63,96,1,1,3,10,6,75,0,0,12,0,0,0,0,0,0,0,22,2,0,0,4,0,0,2,0,0,3,0,2,0,0,1
11,712,712,1400,Октябрьский-2,"Шашина, 10",2022-11-30,"{'lat': 54.478439, 'long': 53.52278}",Октябрьский (респ. Башкортостан),32,145,1,0,10,2,2,10,1,2,0,1,12,0,0,0,0,0,0,1,7,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
