,index,Unnamed: 0,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
0,401,401,871,Тюмень-5,ТЦ Матрёшка,2018-11-18,"{'lat': 57.107137, 'long': 65.589605}",Тюмень,99,495,255,175,4,1,42,68,14,72,17,7,22,2,1,0,0,2,0,2,45,2,0,0,6,7,0,3,0,0,0,0,0,0,0,3
1,402,402,873,Тамбов-2,ТЦ Браво,2018-10-08,"{'lat': 52.766585, 'long': 41.397396}",Тамбов,52,205,45,36,3,0,24,33,2,36,0,1,11,3,0,0,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,403,403,874,Краснодар-7,"Московская, 152",2018-09-22,"{'lat': 45.091157, 'long': 39.002505}",Краснодар,157,418,55,210,7,6,65,53,44,232,0,5,24,1,5,0,0,0,0,2,51,0,0,0,4,9,0,0,2,0,1,0,2,0,0,0
3,404,404,876,Копейск-1,Копейск,2018-11-16,"{'lat': 55.117561, 'long': 61.609085}",Копейск,186,172,82,3,1,0,5,67,15,14,0,7,20,0,0,0,0,0,0,0,12,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0
4,405,405,878,Челябинск-5,"40 лет Победы, 1",2018-12-21,"{'lat': 55.191769, 'long': 61.282153}",Челябинск,11,353,539,188,10,1,4,369,4,166,0,5,17,1,6,0,1,0,0,0,23,1,0,2,5,3,0,0,0,0,0,0,0,0,0,0
5,406,406,879,Белгород-3,Белгород-3,2018-10-05,"{'lat': 50.554649, 'long': 36.568704}",Белгород,22,444,74,39,27,1,188,27,20,159,0,2,22,0,1,0,0,0,0,0,26,1,0,1,1,2,0,9,0,0,0,0,0,0,0,0
6,407,407,880,Орел-3,ТЦ Гринн,2018-10-31,"{'lat': 52.921121, 'long': 36.010034}",Орёл,93,188,19,19,0,0,1,4,0,11,0,0,6,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
7,408,408,882,Липецк-1,"ТЦ Ривьера, Катукова 51",2018-12-30,"{'lat': 52.592581, 'long': 39.503875}",Липецк,6,281,115,25,2,0,87,21,1,76,0,8,19,1,1,0,0,0,0,2,4,0,0,3,2,4,0,2,0,0,0,0,0,0,0,0
8,409,409,883,Железнодорожный-2,Кучино,2022-06-10,"{'lat': 55.75102, 'long': 37.95728}",Железнодорожный,141,152,59,175,1,1,2,7,4,50,0,2,18,0,1,0,1,2,0,2,7,1,0,1,5,5,0,4,0,0,1,0,1,0,0,2
9,410,410,884,Мытищи-2,Арена Мытищи,2018-10-22,"{'lat': 55.911311, 'long': 37.726493}",Мытищи,124,292,121,166,2,0,12,50,7,69,0,4,37,0,12,0,0,0,0,2,28,0,0,1,3,3,1,7,0,0,0,0,0,0,0,0
