,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
18,646,Архангельск-2,Сафари,2018-02-09,"{'lat': 64.549552, 'long': 40.55015}",Архангельск,693,616,130,7,17,4,722,190,39,237,0,1,33,1,8,0,0,0,0,1,16,0,0,0,6,7,0,1,0,0,14,0,1,0,0,0
19,647,Орехово-Зуево-2,ТЦ Капитолий,2017-12-31,"{'lat': 55.804602, 'long': 38.974316}",Орехово-Зуево,75,259,29,7,3,0,18,2,9,27,0,5,14,0,0,0,0,0,0,2,14,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0
20,651,Тула-1,"Советская, 56а",2018-02-21,"{'lat': 54.19244, 'long': 37.614236}",Тула,597,997,100,39,14,10,8,75,24,104,4,4,37,1,15,0,0,0,0,1,34,1,0,0,3,12,0,5,0,0,1,0,2,2,0,0
21,652,Москва 4-3,Братеево,2018-02-23,"{'lat': 55.63537, 'long': 37.764041}",Москва,26,55,157,205,1,0,2,7,2,58,0,0,31,0,2,0,0,0,0,1,17,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0
22,655,Москва 0-13,Теплый Стан,2018-03-05,"{'lat': 55.622827, 'long': 37.506253}",Москва,10,125,88,153,6,0,0,11,3,116,2,0,34,0,6,0,5,0,0,1,10,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0
23,657,Кашира-1,Кашира,2020-10-24,"{'lat': 54.834807, 'long': 38.150543}",Кашира,96,47,7,0,0,1,2,2,34,94,0,0,5,0,1,0,0,0,0,0,3,1,0,0,2,1,0,1,0,0,1,0,1,0,0,0
24,659,Надым-1,Надым,2019-01-27,"{'lat': 65.527636, 'long': 72.539678}",Надым,1,194,4,0,7,4,5,21,12,99,2,2,8,0,0,0,0,0,0,0,12,0,0,1,0,7,0,2,0,0,0,0,1,0,0,0
25,662,Омск-1,Омск – Поворотная,2018-03-24,"{'lat': 54.989946, 'long': 73.305887}",Омск,44,511,172,89,14,2,25,29,133,446,0,2,12,1,18,1,0,11,0,0,6,4,0,0,4,7,0,2,1,0,4,0,0,0,0,0
26,665,Москва 16-1,"Алексеевский, Ростокино",2019-10-21,"{'lat': 55.813744, 'long': 37.65627}",Москва,11,287,113,52,13,15,3,23,55,44,0,6,28,2,11,0,2,0,0,0,21,0,0,0,8,10,0,4,4,1,13,0,1,1,0,0
27,667,Фрязино-1,Фрязино,2018-06-23,"{'lat': 55.955725, 'long': 38.042009}",Фрязино,85,145,21,21,4,0,2,7,0,19,0,0,5,0,1,0,0,0,0,0,7,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0
28,669,Анапа-1,Анапа,2018-06-01,"{'lat': 44.896168, 'long': 37.316603}",Анапа,41,123,18,50,0,16,3,23,0,64,1,1,9,1,1,1,0,0,0,0,36,0,0,1,1,7,0,5,1,0,4,0,2,1,0,0
29,671,Геленджик-1,Геленджик,2018-06-02,"{'lat': 44.555747, 'long': 38.072878}",Геленджик,17,120,12,3,0,52,90,12,1,95,3,1,7,0,1,0,0,0,0,0,61,0,0,2,0,14,0,6,3,0,5,0,0,2,0,0
30,672,Казань-4,Новосавиновский район ,2018-04-14,"{'lat': 55.839181, 'long': 49.146459}",Казань,75,719,193,66,22,3,0,41,24,116,8,7,32,1,7,0,0,0,0,1,32,0,0,2,6,6,0,2,0,0,3,0,1,0,0,0
31,674,Сестрорецк-1,Сестрорецк,2022-08-12,"{'lat': 60.086385, 'long': 29.955805}",Сестрорецк,40,91,20,3,5,1,3,1,5,9,0,1,7,0,0,0,0,3,0,0,32,0,0,0,1,3,0,2,0,0,2,0,2,0,0,0
32,676,Ржев-1,Додо Пицца Ржев,2018-10-09,"{'lat': 56.264392, 'long': 34.33229}",Ржев,10,72,0,0,1,0,12,3,0,9,0,0,9,0,0,0,0,3,0,0,15,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0
33,678,Апатиты-1,Апатиты,2021-07-19,"{'lat': 67.567258, 'long': 33.401842}",Апатиты,10,235,0,0,0,0,105,12,1,43,0,0,5,8,2,0,0,0,0,0,11,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0
34,680,Хабаровск-1,Заводская,2018-04-26,"{'lat': 48.397558, 'long': 135.100663}",Хабаровск,29,138,52,4,0,0,13,6,6,6,0,0,8,0,1,0,0,0,0,0,9,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0
35,684,Можайск-1,Можайск,2018-10-19,"{'lat': 55.506661, 'long': 36.016625}",Можайск,25,48,0,1,0,0,60,20,0,158,0,3,7,1,1,1,0,0,0,0,22,1,0,0,1,0,0,0,0,0,9,0,1,0,0,0
36,686,Саров-1,Саров,2018-07-08,"{'lat': 54.94151, 'long': 43.326511}",Саров,144,97,21,2,13,9,11,4,3,41,9,0,13,0,1,0,0,0,0,0,9,2,0,0,0,2,0,3,1,0,1,1,3,1,0,0
37,687,Казань-5,Московский район,2018-04-17,"{'lat': 55.8178, 'long': 49.0909}",Казань,383,1171,243,90,26,24,3,357,86,236,39,18,68,5,68,0,0,0,0,1,66,5,0,4,11,13,0,3,0,0,36,1,4,0,0,0
38,689,Железногорск Курской области-1,Железногорск ЦУМ,2019-05-15,"{'lat': 52.350454, 'long': 35.343918}",Железногорск (Курская обл.),0,246,52,1,3,0,6,8,1,7,0,2,9,0,0,0,0,1,0,0,18,1,0,1,2,6,0,2,3,0,0,0,1,0,0,0
39,691,Иркутск-1,Депутатская,2018-09-08,"{'lat': 52.264467, 'long': 104.329618}",Иркутск,239,494,65,100,6,6,835,241,18,72,0,1,42,0,17,5,0,0,0,2,132,1,0,1,5,16,0,8,1,0,4,0,13,1,0,0
40,697,Усолье-Сибирское-1,Усолье-Сибирское,2019-08-16,"{'lat': 52.732716, 'long': 103.663482}",Усолье-Сибирское,181,307,0,0,1,0,73,10,0,22,0,6,15,0,1,0,0,0,0,3,6,4,0,9,1,5,0,9,1,0,0,0,0,0,0,0
41,702,Новоуральск-1,Комсомолец,2018-09-24,"{'lat': 57.251179, 'long': 60.073487}",Новоуральск,10,48,2,0,0,0,7,25,15,27,8,0,8,1,0,0,0,0,0,0,5,2,0,0,1,1,0,0,0,0,1,0,1,0,0,1
