,index,Unnamed: 0,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
84,685,685,1361,Ломоносов-1,Ломоносов,2022-06-09,"{'lat': 59.91564, 'long': 29.768105}",Ломоносов,74,106,2,0,1,0,12,4,6,9,0,5,7,0,0,0,0,0,0,0,7,0,0,1,0,1,0,1,0,0,4,0,3,0,0,0
85,686,686,1365,Хабаровск-4,Карла-Маркса,2022-06-23,"{'lat': 48.496417, 'long': 135.098929}",Хабаровск,44,195,98,50,2,3,29,58,24,44,0,1,10,0,4,0,0,0,0,0,45,1,0,1,6,8,0,5,2,0,0,0,0,0,0,0
86,687,687,1366,Сургут-4,На Крылова,2022-08-05,"{'lat': 61.286535, 'long': 73.355869}",Сургут,170,431,22,46,4,13,58,174,88,256,0,0,61,0,5,0,0,0,0,0,6,4,0,0,7,14,0,1,1,0,1,0,0,0,0,0
87,688,688,1367,Жуковский-2,Жуковский -2 ,2022-08-31,"{'lat': 55.608115, 'long': 38.092104}",Жуковский,235,306,93,16,24,4,47,6,10,76,2,0,46,0,6,1,0,0,0,1,12,3,0,0,0,0,0,1,1,0,4,0,0,0,0,0
88,689,689,1369,Тольятти-5,"Тольятти-5, ул. Лизы Чайкиной, 67",2022-09-08,"{'lat': 53.481904, 'long': 49.475819}",Тольятти,10,141,17,25,0,1,32,4,2,23,1,0,7,0,0,0,0,0,0,0,13,1,0,0,2,9,0,2,0,0,0,0,0,0,0,0
89,690,690,1371,Дубна-2,Дубна-2,2022-06-26,"{'lat': 56.735682, 'long': 37.160395}",Дубна,211,120,47,4,7,0,1,7,12,92,8,0,10,0,1,0,1,0,0,1,16,0,0,2,2,1,0,1,0,0,1,0,1,0,0,0
90,691,691,1372,Ноябрьск-2,Ноябрьск,2022-09-08,"{'lat': 63.201319, 'long': 75.451073}",Ноябрьск,83,204,3,0,1,7,35,58,16,122,1,3,6,1,0,1,0,0,0,0,13,5,0,2,7,19,0,7,0,0,0,1,0,0,0,0
91,692,692,1373,Нарьян-Мар-1,Нарьян-Мар,2022-10-05,"{'lat': 67.64369, 'long': 52.998467}",Нарьян-Мар,81,39,0,0,4,0,5,7,1,13,2,2,0,0,0,0,0,0,0,3,6,2,0,0,1,4,0,1,0,0,0,0,4,0,0,0
92,693,693,1374,Москва 4-9,Северное Бутово,2022-07-11,"{'lat': 55.56813, 'long': 37.568991}",Москва,13,41,76,129,0,0,0,31,4,17,0,0,23,3,0,0,2,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,694,694,1375,Омск-7,Сибирский проспект,2022-09-01,"{'lat': 54.910741, 'long': 73.458142}",Омск,23,183,27,7,0,0,24,0,0,4,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,695,695,1376,Санкт-Петербург 14-2,Новая Охта,2022-08-26,"{'lat': 60.03344, 'long': 30.44675}",Санкт-Петербург,12,173,57,148,7,0,7,11,11,51,0,1,29,0,0,0,0,21,0,1,7,3,0,0,4,3,0,1,0,0,0,0,0,0,0,0
95,696,696,1377,Голубое-1,Голубое,2022-11-12,"{'lat': 55.980734, 'long': 37.103655}",Голубое,25,31,91,102,2,0,23,18,2,29,0,0,12,0,0,0,1,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,697,697,1378,Сафоново-1,Сафоново,2022-10-27,"{'lat': 55.10956, 'long': 33.23722}",Сафоново,6,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
97,698,698,1379,Москва 17-5,Солнцево,2022-07-31,"{'lat': 55.64655, 'long': 37.407497}",Москва,24,71,39,108,1,0,1,11,5,21,1,0,13,4,0,0,1,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
98,699,699,1381,Бронницы-1,Бронницы,2023-01-02,"{'lat': 55.425032, 'long': 38.266021}",Бронницы,14,69,1,0,0,1,0,0,0,15,0,1,3,0,0,0,0,0,0,0,5,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0
99,700,700,1382,Омск-8,Омск-Дианова,2022-12-30,"{'lat': 54.995137, 'long': 73.254009}",Омск,58,466,119,64,6,0,5,5,8,218,0,3,15,1,2,1,0,3,0,0,6,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0
